decile,n,mean_flow_adv,mean_r_t,r_last30_x_w_bps,r_last30_x_w_se,on1_x_w_bps,on1_x_w_se,cc1_x_w_bps,cc1_x_w_se
1,2645,-0.013674423334967009,-0.050134428,1.0483552846332238,4.5705177244195445,19.761456416202765,10.040397489382258,16.604664533560914,26.609527484007767
2,2644,-0.0024831327111473327,-0.03088174,2.6384213064922606,2.646793331953562,-1.5884193839655723,5.5645257660429115,3.299212503156077,13.387562856200296
3,2644,-0.0007732156357484202,-0.021757737,4.324067821711232,1.8130395476709977,-1.879726282475723,3.4783364989512333,6.001748709415241,8.489802237833175
4,2644,-0.0002393547025744382,-0.014891245,2.0947145477025617,1.2783299984913268,-1.9278254973379414,2.887426073412291,-0.47919211946158635,6.654424309938173
5,2677,-4.412973060951836e-05,-0.0076542557,1.2054375307100447,1.083950416183431,-3.699763851804442,2.487456342062744,-7.194703766565668,5.244670090483226
6,2612,4.0584171282054305e-05,0.008144081,-1.570422456485674,0.8875839103630832,1.262343115413425,2.345771237929012,-1.5228916582305325,5.0842199160863615
7,2644,0.00020571161862787267,0.015024195,-0.9866734935229986,1.137233533772757,6.593217830955418,2.9373455271023152,7.0069054985193135,7.157829764880243
8,2644,0.0006387691552394389,0.021357145,-0.8293366380946066,1.5192059752644258,6.5857581979731235,3.3107583023726654,0.06861693749471529,7.481088001662932
9,2644,0.0021061333603952077,0.03154835,1.5819808943489488,2.1959342255280156,10.089549593294814,4.779522170140965,8.484129440432643,11.716206994715511
10,2645,0.013740135766861741,0.058555227,-2.358370328270645,3.451076229910621,12.46812577363674,7.705224566268585,12.160877146342298,18.263684188745156
